code,name
2123,Специалисты по стандартизации и метрологии
213,Специалисты по компьютерам
2131,Разработчики и аналитики компьютерных систем
2132,Программисты
2139,"Специалисты по компьютерам, не вошедшие в другие группы"
214,"Архитекторы, инженеры и специалисты родственных профессий"
2141,Архитекторы и инженеры по транспортному и городскому строительству
2142,Инженеры по промышленному и гражданскому строительству
2143,Инженеры-электрики и инженеры-энергетики
2144,"Инженеры-электроники, инженеры по связи и приборостроению"
2145,Инженеры-механики и технологи машиностроения
2146,"Химики-технологи, технологи топлива, изделий текстильной и легкой промышленности, продуктов питания"
2147,Горные инженеры и металлурги
2148,"Геодезисты, картографы и топографы"
2149,"Архитекторы, инженеры и специалисты родственных профессий, не вошедшие в другие группы"
22,"Специалисты в области биологических, сельскохозяйственных наук и здравоохранения"
221,Специалисты в области биологических и сельскохозяйственных наук
2211,"Биологи, ботаники, зоологи и специалисты родственных профессий"
2212,"Бактериологи, фармакологи и специалисты родственных профессий"
2213,Агрономы и специалисты родственных профессий
222,Специалисты в здравоохранении (кроме медицинских сестер)
2221,Врачи
2222,Стоматологи
2223,Ветеринары
2224,Фармацевты
2229,"Специалисты-медики (кроме медсестер), не вошедшие в другие группы"
223,Медицинские сестры
23,Специалисты в области образования
231,"Преподаватели колледжей, университетов и других вузов"
2310,"Преподаватели колледжей, университетов и других вузов"
232,Преподаватели в средней школе
2320,Преподаватели в средней школе
233,Преподаватели в начальной школе и дошкольном образовании
234,Преподаватели в системе специального образования
2340,Преподаватели в системе специального образования
235,Прочие специалисты в области образования
2351,Специалисты по методике обучения и воспитательной работы
2352,Инспекторы в образовании
2359,"Специалисты по обучению, не вошедшие в другие группы"
24,Прочие специалисты высшего уровня квалификации
241,Специалисты по предпринимательской деятельности и кадрам
2411,Бухгалтеры и специалисты по финансам и кредиту
2412,Специалисты по кадрам и профориентации
2413,Специалисты по коммерческой деятельности
2419,"Специалисты по предпринимательской деятельности и кадрам, не вошедшие в другие группы"
242,Специалисты в области права
2421,Юристы
2422,Судьи
2429,"Специалисты в области права, не вошедшие в другие группы"
243,Специалисты в области информации и родственных профессий
324,Целители и практики нетрадиционной медицины
2431,"Архивоведы, хранители музеев и специалисты родственных профессий"
2432,"Библиотекари, библиографы, документоведы и специалисты родственных профессий"
244,Специалисты в области общественных и родственных наук
2441,Экономисты
2442,Социологи и специалисты родственных профессий
2443,"Философы, историки и политологи"
2444,Филологи и переводчики
2445,Психологи
2446,Специалисты в сфере социальных проблем
245,Деятели литературы и искусства
2451,Журналисты и литературные работники
2452,"Скульпторы, художники и родственные им деятели искусства"
2453,"Композиторы, музыканты и певцы"
2454,Хореографы и танцоры
2455,"Актеры и режиссеры театра, кино и др."
246,Религиозные деятели
2460,Религиозные деятели
3,Специалисты среднего уровня квалификации
31,Специалисты среднего уровня квалификации физических и инженерных направлений деятельности
311,Техники физических и инженерных направлений деятельности
3111,Техники в области химических и физических научных исследований и их практического применения
3112,Техники по промышленному и гражданскому строительству
3113,Техники-электрики
3114,Техники-электроники и техники по телекоммуникациям
3115,Техники-механики
3116,"Техники-химики, занятые в производстве"
3117,Техники в добывающих и металлургических отраслях
3118,Чертежники
3119,"Техники физических и инженерных направлений деятельности, не вошедшие в другие группы"
312,Техники и операторы по обслуживанию ЭВМ и различных компьютерных устройств
3121,Техники и операторы по обслуживанию ЭВМ
3122,Техники и операторы по обслуживанию компьютерных устройств
3123,Техники и операторы по обслуживанию промышленных роботов
313,Техники и операторы оптического и электронного оборудования
3131,"Фотографы, техники и операторы аппаратуры для записи изображения и звука"
3132,"Техники и операторы аппаратуры для радио-, телевещания и телесвязи"
3133,Техники по обслуживанию медицинского оборудования
3134,"Техники и операторы оптического и электронного оборудования, не вошедшие в другие группы"
314,Контролеры и специалисты-техники по эксплуатации транспортных средств
3141,Судовые механики
3142,Капитаны и лоцманы
3143,Пилоты самолетов и специалисты родственных профессий
3144,Авиационные диспетчеры
3145,Техники по безопасности движения самолетов
3146,Диспетчеры (кроме авиационных)
